State,Line Item,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Oklahoma,Labor,0.177995553,0.181382987,0.18483296,0.188346566,0.191924917,0.195569139,0.199180307,0.202853101,0.206588379,0.210387004,0.214249841,0.218058734,0.22192457,0.225847712,0.229828495,0.233867234,0.23796421,0.24211968,0.246333864,0.250606953,0.2547691,0.258975816,0.263226231,0.267519381,0.271854196
Oklahoma,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
Oklahoma,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
Oklahoma,Electricity Cost,0.22995,0.230880205,0.231811757,0.232744613,0.233678729,0.23461406,0.235432275,0.236247457,0.237059449,0.237868087,0.238673208,0.239343996,0.240005022,0.240655907,0.241296263,0.241925691,0.242543782,0.243150117,0.243744262,0.244325777,0.244730904,0.24511346,0.245472591,0.245807416,0.246117028
Oklahoma,Other Related Expenses,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232
Oregon,Maintenance,0.0131195,0.013515709,0.013923883,0.014344384,0.014777585,0.015223868,0.01576127,0.016317643,0.016893656,0.017490002,0.018107399,0.018838938,0.019600031,0.020391872,0.021215704,0.022072819,0.02296456,0.023892329,0.024857579,0.025861825,0.027038538,0.028268791,0.029555021,0.030899775,0.032305715
Oregon,Legal/Permitting,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569
Oregon,Labor,0.276199996,0.281456358,0.286809765,0.292261913,0.297814526,0.303469354,0.309072891,0.314772053,0.320568175,0.326462592,0.33245665,0.338367001,0.344365713,0.350453345,0.356630424,0.362897432,0.369254809,0.375702952,0.382242204,0.388872858,0.395331362,0.401859024,0.408454496,0.41511628,0.421842717
Oregon,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
Oregon,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
