State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Rhode Island," $(1,314,457.25)"," $(363,357.95)"," $(367,828.58)"," $(375,398.31)"," $(383,100.79)"," $(390,937.67)"," $(398,910.61)"," $(409,522.00)"," $(420,303.10)"," $(431,255.03)"," $(442,378.85)"," $(435,591.43)"," $(447,972.99)"," $(462,189.05)"," $(476,594.61)"," $(491,188.53)"," $(505,969.49)"," $(520,936.01)"," $(536,086.44)"," $(551,418.91)"," $(566,931.38)"," $(585,179.75)"," $(603,586.55)"," $(622,144.40)"," $(640,845.42)"," $(659,681.20)"
South Carolina," $(1,314,457.25)"," $(115,479.79)"," $(118,135.11)"," $(125,147.99)"," $(132,298.18)"," $(139,587.33)"," $(147,017.10)"," $(157,946.02)"," $(169,063.07)"," $(180,369.38)"," $(191,866.02)"," $(184,886.49)"," $(198,512.26)"," $(214,056.20)"," $(229,820.07)"," $(245,802.49)"," $(262,001.87)"," $(278,416.41)"," $(295,044.11)"," $(311,882.74)"," $(328,929.84)"," $(349,674.00)"," $(370,612.10)"," $(391,735.57)"," $(413,035.26)"," $(434,501.39)"
South Dakota," $(1,314,457.25)"," $1,424,353.82 "," $1,433,747.44 "," $1,421,306.36 "," $1,408,500.97 "," $1,395,326.72 "," $1,381,779.06 "," $1,353,808.84 "," $1,325,256.04 "," $1,296,117.05 "," $1,266,388.39 "," $1,256,192.70 "," $1,212,641.39 "," $1,166,510.73 "," $1,119,633.51 "," $1,072,013.53 "," $1,023,655.23 "," $974,563.72 "," $924,744.83 "," $874,205.10 "," $822,951.85 "," $756,095.78 "," $688,507.12 "," $620,212.44 "," $551,240.28 "," $481,621.15 "
Tennessee," $(1,314,457.25)"," $23,530.68 "," $21,983.13 "," $14,860.05 "," $7,586.95 ", $162.00 ," $(7,416.63)"," $(19,241.66)"," $(31,279.26)"," $(43,530.70)"," $(55,997.22)"," $(50,449.98)"," $(65,893.50)"," $(83,249.69)"," $(100,859.99)"," $(118,722.89)"," $(136,836.64)"," $(155,199.27)"," $(173,808.56)"," $(192,662.04)"," $(211,756.95)"," $(235,370.68)"," $(259,215.11)"," $(283,280.60)"," $(307,556.84)"," $(332,032.80)"
Texas," $(1,314,457.25)"," $387,982.97 "," $389,344.51 "," $380,321.39 "," $371,081.18 "," $361,621.24 "," $351,938.90 "," $334,947.16 "," $317,629.26 "," $299,983.26 "," $282,007.27 "," $283,825.42 "," $259,728.23 "," $233,395.97 "," $206,660.22 "," $179,523.27 "," $151,987.79 "," $124,056.79 "," $95,733.69 "," $67,022.30 "," $37,926.87 ", $985.63 ," $(36,335.88)"," $(74,022.67)"," $(112,058.66)"," $(150,426.67)"
Utah," $(1,314,457.25)"," $(160,021.57)"," $(163,132.20)"," $(169,845.50)"," $(176,686.87)"," $(183,657.84)"," $(190,759.95)"," $(200,906.27)"," $(211,224.79)"," $(221,716.56)"," $(232,382.56)"," $(224,541.66)"," $(236,844.72)"," $(251,046.34)"," $(265,447.08)"," $(280,045.71)"," $(294,840.81)"," $(309,830.79)"," $(325,013.84)"," $(340,387.98)"," $(355,951.01)"," $(374,720.25)"," $(393,663.44)"," $(412,772.85)"," $(432,040.27)"," $(451,456.90)"
Vermont," $(1,314,457.25)"," $(183,034.55)"," $(186,331.48)"," $(194,225.00)"," $(202,271.80)"," $(210,473.80)"," $(218,832.94)"," $(230,802.12)"," $(242,977.04)"," $(255,359.09)"," $(267,949.57)"," $(262,373.95)"," $(277,251.22)"," $(294,038.68)"," $(311,064.74)"," $(328,328.15)"," $(345,827.46)"," $(363,560.99)"," $(381,526.86)"," $(399,722.96)"," $(418,146.93)"," $(440,376.31)"," $(462,817.04)"," $(485,460.38)"," $(508,296.95)"," $(531,316.75)"
Virginia," $(1,314,457.25)"," $(179,049.65)"," $(182,207.89)"," $(188,857.95)"," $(195,633.43)"," $(202,535.82)"," $(209,566.65)"," $(219,551.95)"," $(229,705.30)"," $(240,027.72)"," $(250,520.17)"," $(242,807.73)"," $(254,866.59)"," $(268,790.74)"," $(282,908.58)"," $(297,218.86)"," $(311,720.19)"," $(326,410.97)"," $(341,289.43)"," $(356,353.59)"," $(371,601.27)"," $(389,956.00)"," $(408,478.80)"," $(427,162.08)"," $(445,997.76)"," $(464,977.18)"
Washington," $(1,314,457.25)"," $765,114.95 "," $768,714.69 "," $757,531.78 "," $746,057.62 "," $734,288.50 "," $722,220.68 "," $700,105.82 "," $677,547.93 "," $654,544.08 "," $631,091.45 "," $627,313.24 "," $594,756.97 "," $559,814.03 "," $524,316.16 "," $488,265.91 "," $451,666.30 "," $414,520.82 "," $376,833.50 "," $338,608.86 "," $299,851.98 "," $250,266.71 "," $200,144.63 "," $149,504.95 "," $98,368.24 "," $46,756.57 "
West Virginia," $(1,314,457.25)"," $(173,897.40)"," $(177,230.61)"," $(184,140.42)"," $(191,181.92)"," $(198,356.76)"," $(205,666.56)"," $(215,979.34)"," $(226,467.47)"," $(237,132.07)"," $(247,974.24)"," $(240,765.01)"," $(253,245.19)"," $(267,585.68)"," $(282,128.23)"," $(296,871.72)"," $(311,814.84)"," $(326,956.11)"," $(342,293.83)"," $(357,826.15)"," $(373,550.98)"," $(392,435.83)"," $(411,497.96)"," $(430,729.82)"," $(450,123.36)"," $(469,669.95)"
Wisconsin," $(1,314,457.25)"," $(223,242.34)"," $(226,481.07)"," $(233,005.55)"," $(239,650.58)"," $(246,417.60)"," $(253,308.05)"," $(262,988.42)"," $(272,829.26)"," $(282,831.52)"," $(292,996.10)"," $(285,502.23)"," $(297,103.16)"," $(310,509.11)"," $(324,098.85)"," $(337,871.15)"," $(351,824.63)"," $(365,957.72)"," $(380,268.68)"," $(394,755.56)"," $(409,416.22)"," $(427,002.64)"," $(444,746.57)"," $(462,640.67)"," $(480,677.11)"," $(498,847.52)"
Wyoming," $(1,314,457.25)"," $43,187.00 "," $41,874.22 "," $34,521.83 "," $27,014.42 "," $19,350.18 "," $11,527.29 ", $(914.04)," $(13,578.12)"," $(26,466.17)"," $(39,579.38)"," $(32,792.91)"," $(49,108.38)"," $(67,522.42)"," $(86,203.84)"," $(105,150.83)"," $(124,361.35)"," $(143,833.07)"," $(163,563.43)"," $(183,549.56)"," $(203,788.32)"," $(228,943.54)"," $(254,339.97)"," $(279,966.97)"," $(305,813.18)"," $(331,866.48)"
