State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Georgia,"($6,770,149.69)",Negative,"$25,760,376.16 ",-607675.635,-614715.1672,-625389.5734,-636161.7364,-647032.6623,-658003.3649,-670744.4225,-683578.6421,-696506.1718,-709527.1311,-722641.6099,-737477.7981,-752384.5899,-767360.0674,-782402.1938,-797508.809,-812677.6251,-827906.2221,-843192.0428,-858532.3886,-875388.9007,-892241.8525,-909084.0681,-925908.0179,-942705.806
Hawaii,"($6,112,758.78)",Negative,"$37,536,557.04 ",-426864.7462,-431974.3406,-447521.4689,-463282.4696,-479259.9147,-495456.3944,-517458.8176,-539729.2397,-562269.0252,-585079.4727,-608161.8121,-637165.893,-666457.7145,-696034.4759,-725893.0788,-756030.1165,-786441.8605,-817124.2493,-848072.8746,-879282.9687,-916323.8507,-953564.2776,-990989.1599,-1028582.489,-1066327.304
Idaho,"($2,175,914.94)",Negative,"$26,201,817.36 ",214403.2735,213499.9416,199802.2485,185882.27,171737.3459,157364.8012,135524.7104,113379.0798,90926.30547,68164.86209,45093.30685,14340.66702,-16765.88558,-48223.5968,-80029.37206,-112179.7627,-144670.9517,-177498.7395,-210658.5291,-244145.3107,-285362.0702,-326866.2479,-368641.546,-410670.6176,-452935.0288
Illinois,"($4,556,422.28)",Negative,"$28,004,521.70 ",-170583.2162,-174592.7104,-187889.7003,-201372.9844,-215044.7997,-228907.3984,-248033.3871,-267394.8137,-286992.9057,-306828.8336,-326903.7082,-352350.8998,-378053.8632,-404010.2853,-430217.597,-456672.9628,-483373.271,-510315.122,-537494.818,-564908.351,-597635.0865,-630546.4863,-663629.7259,-696871.1904,-730256.4454
Indiana,"$1,929,849.88 ",30%,"$27,263,416.12 ",981901.2144,987365.429,971142.4687,954588.9124,937700.752,920473.9631,890278.8476,859586.1321,828393.0792,796697.0836,764495.6784,718861.3291,672614.3672,625758.6763,578298.6995,530239.4629,481586.5987,432346.3693,382525.6918,332132.1638,268017.9284,203354.36,138166.9994,72483.11451,6331.764411
Iowa,"($3,817,874.81)",Negative,"$26,952,605.84 ",-82162.5812,-85346.25499,-98379.208,-111598.8138,-125007.2781,-138606.8206,-157830.4535,-177295.4565,-197003.0289,-216954.3085,-237150.3685,-263097.7271,-289311.5175,-315789.2899,-342528.3248,-369525.6226,-396777.892,-424281.5394,-452032.6565,-480027.0092,-513734.6907,-547638.8847,-581726.1971,-615982.405,-650392.426
Kansas,"($4,764,718.05)",Negative,"$27,485,423.47 ",-216266.7382,-220451.5688,-233235.7241,-246191.455,-259320.773,-272625.7025,-290768.0994,-309124.5216,-327695.9913,-346483.476,-365487.8861,-389419.7135,-413580.4931,-437967.8906,-462579.3321,-487411.994,-512462.7938,-537728.3797,-563205.1207,-588889.0957,-619424.145,-650116.3152,-680953.414,-711922.5129,-743009.9196
Kentucky,"$871,537.36 ",20%,"$26,456,116.68 ",747966.5593,751414.8906,736091.2283,720472.5744,704555.3594,688335.9977,660942.4832,633114.0935,604848.4506,576143.2908,546996.4703,506291.8618,465058.6935,423300.4497,381021.1016,338225.1278,294917.5338,251103.8736,206790.2709,161983.4407,105406.1329,48363.61543,-9121.666313,-67025.76406,-125323.1715
Louisiana,"($770,352.12)",Negative,"$26,052,466.97 ",425876.1395,426658.7425,412383.6255,397858.7467,383081.0997,368047.6629,344138.3754,319874.4512,295253.9865,270275.1701,244936.2867,210442.9007,175529.0715,140197.8142,104452.5395,68297.0694,31735.65435,-5227.010555,-42585.76796,-80334.98059,-127351.3367,-174723.3579,-222432.4537,-270458.8138,-318781.3635
Maine,"($5,306,087.09)",Negative,"$29,134,350.19 ",-331674.1702,-337564.9241,-351355.3192,-365332.5523,-379498.9822,-393856.9891,-412618.7294,-431603.8981,-450813.8667,-470249.963,-489913.4692,-514048.9354,-538418.346,-563019.8563,-587851.4023,-612910.6918,-638195.1952,-663702.1361,-689428.482,-715370.9339,-745684.8358,-776162.1782,-806791.7939,-837561.8266,-868459.7057
