State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
New Jersey," $(1,314,457.25)"," $(1,638,278.05)"," $(1,967,142.53)"," $(2,303,775.05)"," $(2,648,283.86)"," $(3,000,778.52)"," $(3,361,369.89)"," $(3,732,466.84)"," $(4,114,200.07)"," $(4,506,701.01)"," $(4,910,101.79)"," $(5,306,305.18)"," $(5,714,337.26)"," $(6,135,993.05)"," $(6,571,409.15)"," $(7,020,720.82)"," $(7,484,061.92)"," $(7,961,564.67)"," $(8,453,359.58)"," $(8,959,575.26)"," $(9,480,338.25)"," $(10,018,049.34)"," $(10,572,805.14)"," $(11,144,695.59)"," $(11,733,803.49)"," $(12,340,204.07)"
New Mexico," $(1,314,457.25)"," $258,439.96 "," $1,841,426.29 "," $3,411,619.46 "," $4,968,671.50 "," $6,512,230.14 "," $8,041,938.81 "," $9,542,848.19 "," $11,014,396.13 "," $12,456,017.20 "," $13,867,142.82 "," $15,265,606.49 "," $16,619,104.89 "," $17,925,241.50 "," $19,183,296.61 "," $20,392,554.79 "," $21,552,305.47 "," $22,661,843.72 "," $23,720,470.88 "," $24,727,495.30 "," $25,682,233.14 "," $26,568,602.42 "," $27,385,907.62 "," $28,133,480.55 "," $28,810,682.20 "," $29,416,904.85 "
New York," $(1,314,457.25)"," $(1,468,114.16)"," $(1,625,795.86)"," $(1,792,353.56)"," $(1,967,929.68)"," $(2,152,668.46)"," $(2,346,715.92)"," $(2,553,792.83)"," $(2,774,083.77)"," $(3,007,774.45)"," $(3,255,051.71)"," $(3,497,873.43)"," $(3,756,634.73)"," $(4,033,200.09)"," $(4,327,775.40)"," $(4,640,565.06)"," $(4,971,771.79)"," $(5,321,596.40)"," $(5,690,237.64)"," $(6,077,891.93)"," $(6,484,753.16)"," $(6,914,642.80)"," $(7,367,727.56)"," $(7,844,165.33)"," $(8,344,104.62)"," $(8,867,683.93)"
North Carolina," $(1,314,457.25)"," $(1,495,568.86)"," $(1,680,931.42)"," $(1,874,271.63)"," $(2,075,707.13)"," $(2,285,356.93)"," $(2,503,341.49)"," $(2,732,762.00)"," $(2,973,768.10)"," $(3,226,510.22)"," $(3,491,139.51)"," $(3,748,411.10)"," $(4,019,133.16)"," $(4,305,233.18)"," $(4,606,873.93)"," $(4,924,216.63)"," $(5,257,420.79)"," $(5,606,644.01)"," $(5,972,041.84)"," $(6,353,767.56)"," $(6,751,972.01)"," $(7,169,804.97)"," $(7,607,389.18)"," $(8,064,839.48)"," $(8,542,262.35)"," $(9,039,755.37)"
North Dakota," $(1,314,457.25)"," $(197,892.25)"," $924,933.58 "," $2,036,355.22 "," $3,136,087.58 "," $4,223,842.12 "," $5,299,326.76 "," $6,350,797.19 "," $7,377,803.34 "," $8,379,892.54 "," $9,356,609.61 "," $10,326,365.83 "," $11,259,788.94 "," $12,154,591.69 "," $13,010,205.12 "," $13,826,063.80 "," $14,601,606.29 "," $15,336,275.74 "," $16,029,520.38 "," $16,680,794.16 "," $17,289,557.34 "," $17,843,222.63 "," $18,341,248.59 "," $18,783,115.75 "," $19,168,328.13 "," $19,496,414.84 "
Ohio," $(1,314,457.25)"," $(1,356,144.47)"," $(1,401,115.96)"," $(1,455,203.75)"," $(1,518,559.75)"," $(1,591,337.70)"," $(1,673,693.21)"," $(1,770,059.43)"," $(1,880,640.28)"," $(2,005,640.87)"," $(2,145,267.42)"," $(2,279,601.29)"," $(2,431,503.76)"," $(2,603,038.54)"," $(2,794,438.11)"," $(3,005,933.16)"," $(3,237,752.31)"," $(3,490,121.96)"," $(3,763,265.97)"," $(4,057,405.46)"," $(4,372,758.54)"," $(4,713,916.46)"," $(5,081,071.53)"," $(5,474,405.86)"," $(5,894,090.77)"," $(6,340,286.05)"
Oklahoma," $(1,314,457.25)"," $(1,423,725.32)"," $(1,536,577.00)"," $(1,657,052.43)"," $(1,785,269.14)"," $(1,921,346.10)"," $(2,065,403.64)"," $(2,220,704.95)"," $(2,387,403.05)"," $(2,565,651.78)"," $(2,755,605.77)"," $(2,939,044.53)"," $(3,136,022.08)"," $(3,348,380.13)"," $(3,576,288.51)"," $(3,819,915.52)"," $(4,079,427.79)"," $(4,354,990.08)"," $(4,646,765.12)"," $(4,954,913.40)"," $(5,279,592.96)"," $(5,624,146.10)"," $(5,988,706.02)"," $(6,373,397.98)"," $(6,778,338.82)"," $(7,203,636.41)"
Oregon," $(1,314,457.25)"," $(1,167,630.17)"," $(1,022,733.09)"," $(887,086.17)"," $(760,859.66)"," $(644,225.97)"," $(537,359.69)"," $(445,529.46)"," $(368,971.48)"," $(307,923.44)"," $(262,624.49)"," $(215,406.01)"," $(187,991.96)"," $(182,289.22)"," $(198,575.07)"," $(237,125.03)"," $(298,212.64)"," $(382,109.18)"," $(489,083.42)"," $(619,401.32)"," $(773,325.74)"," $(956,375.64)"," $(1,168,794.05)"," $(1,410,812.95)"," $(1,682,652.54)"," $(1,984,520.48)"
Pennsylvania," $(1,314,457.25)"," $(1,297,893.22)"," $(1,283,471.75)"," $(1,276,792.39)"," $(1,277,987.93)"," $(1,287,192.78)"," $(1,304,542.92)"," $(1,334,204.64)"," $(1,376,360.93)"," $(1,431,195.79)"," $(1,498,894.11)"," $(1,562,429.69)"," $(1,641,746.69)"," $(1,738,623.03)"," $(1,853,270.35)"," $(1,985,898.58)"," $(2,136,715.69)"," $(2,305,927.50)"," $(2,493,737.43)"," $(2,700,346.32)"," $(2,925,952.13)"," $(3,174,891.37)"," $(3,447,341.15)"," $(3,743,469.12)"," $(4,063,432.93)"," $(4,407,379.54)"
Rhode Island," $(1,314,457.25)"," $(1,591,202.78)"," $(1,872,583.41)"," $(2,162,637.60)"," $(2,461,495.94)"," $(2,769,290.66)"," $(3,086,155.60)"," $(3,415,272.99)"," $(3,756,807.36)"," $(4,110,924.18)"," $(4,477,789.87)"," $(4,839,487.58)"," $(5,215,716.35)"," $(5,608,300.13)"," $(6,017,417.51)"," $(6,443,245.59)"," $(6,885,959.80)"," $(7,345,733.70)"," $(7,822,738.83)"," $(8,317,144.48)"," $(8,829,117.50)"," $(9,361,887.51)"," $(9,915,590.99)"," $(10,490,356.21)"," $(11,086,302.70)"," $(11,703,540.73)"
South Carolina," $(1,314,457.25)"," $(1,338,600.30)"," $(1,365,572.13)"," $(1,400,720.86)"," $(1,444,181.56)"," $(1,496,090.87)"," $(1,556,587.08)"," $(1,629,742.78)"," $(1,715,740.64)"," $(1,814,764.26)"," $(1,926,998.22)"," $(2,033,960.42)"," $(2,156,815.14)"," $(2,297,469.41)"," $(2,456,131.67)"," $(2,633,008.60)"," $(2,828,304.90)"," $(3,042,223.08)"," $(3,274,963.28)"," $(3,526,722.95)"," $(3,797,696.69)"," $(4,092,102.24)"," $(4,410,110.38)"," $(4,751,882.46)"," $(5,117,569.76)"," $(5,507,312.89)"
South Dakota," $(1,314,457.25)"," $211,469.32 "," $1,746,596.62 "," $3,267,988.36 "," $4,775,282.75 "," $6,268,113.47 "," $7,746,109.73 "," $9,194,211.24 "," $10,611,841.53 "," $11,998,420.67 "," $13,353,365.40 "," $14,696,215.28 "," $15,992,993.08 "," $17,241,131.81 "," $18,439,897.71 "," $19,588,561.22 "," $20,686,397.64 "," $21,732,687.83 "," $22,726,718.91 "," $23,667,785.01 "," $24,555,188.03 "," $25,372,746.14 "," $26,119,752.49 "," $26,795,527.79 "," $27,399,422.26 "," $27,930,817.68 "
Tennessee," $(1,314,457.25)"," $(1,203,526.76)"," $(1,094,309.80)"," $(993,329.77)"," $(900,734.53)"," $(816,673.74)"," $(741,298.82)"," $(679,404.93)"," $(631,199.36)"," $(596,890.59)"," $(576,688.17)"," $(552,572.67)"," $(546,069.72)"," $(559,081.36)"," $(591,850.69)"," $(644,618.94)"," $(717,625.25)"," $(811,106.40)"," $(925,296.55)"," $(1,060,427.03)"," $(1,216,726.00)"," $(1,399,210.49)"," $(1,608,089.05)"," $(1,843,559.76)"," $(2,105,809.50)"," $(2,395,013.27)"
